3. PROFIT BY REGION,,,,,,,,,4. TOP PERFORMING PRODUCTS,,,,,,4. BOTTOM PERFORMING PRODUCTS,,,
Region,Category,Total_Sales,Total_Profit,Profit_Margin_Percent,,,,,Product_Name,Total_Sales,Total_Profit,,,,Product_Name,Total_Sales,Total_Profit,
Central,Furniture,48526.82228,92.28534138,0.19,,,,,Canon imageCLASS 2200 Advanced Copier,17499.94922,8399.975586,,,,Cubify CubeX 3D Printer Triple Head Print,7999.97998,-3839.990479,
Central,Office Supplies,37845.57391,274.9628104,0.73,,,,,Hewlett Packard LaserJet 3310 Copier,11159.81409,4607.923126,,,,GBC Ibimaster 500 Manual ProClick Binding System,3957.095947,-1369.763916,
Central,Technology,65586.90744,14790.52412,22.55,,,,,"HP Designjet T520 Inkjet Large Format Printer - 24 Color""""",8749.950195,2799.983887,,,,Bush Advantage Collection Racetrack Conference Table,2969.470032,-1204.756378,
East,Furniture,52415.21379,2657.511145,5.07,,,,,Ativa V4110MDD Micro-Cut Shredder,4899.930176,2400.96582,,,,Hoover Upright Vacuum With Dirt Cup,463.2479858,-1181.282349,
East,Office Supplies,50515.28583,10423.05504,20.63,,,,,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,6914.950012,2281.933533,,,,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,3636.468018,-1101.96003,
East,Technology,72248.06811,18061.3017,25,,,,,Canon PC1060 Personal Laser Copier,6719.903931,2267.967621,,,,Cisco 9971 IP Video Phone Charcoal,1188,-950.4000244,
South,Furniture,35178.70997,1040.839753,2.96,,,,,Zebra ZM400 Thermal Label Printer,4643.799805,2229.023926,,,,Zebra GK420t Direct Thermal/Thermal Transfer Printer,703.710022,-938.2800293,
South,Technology,49499.95812,5940.468909,12,,,,,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.97998,1995.98999,,,,3.6 Cubic Foot Counter Height Office Refrigerator,1944.491974,-813.1512451,
South,Office Supplies,32819.67675,4567.425685,13.92,,,,,Hewlett Packard 610 Color Digital Copier / Printer,3999.919922,1524.969482,,,,High Speed Automatic Electric Letter Opener,3930.072021,-786.0144043,
West,Furniture,60786.35738,3110.529485,5.12,,,,,Global Deluxe High-Back Manager's Chair,5948.384033,1481.3764,,,,Lexmark MX611dhe Monochrome Laser Printer,11219.93408,-679.9959717,
West,Technology,63380.50481,10667.64233,16.83,,,,,,,,,,,,,,
West,Office Supplies,46078.74882,12301.76074,26.7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
